id,name,clouds.all,sys.country,dt,main.humidity,coord.lat,coord.lon,main.temp,wind.speed
1487882,Uzhur,100,RU,1577295635,93,55.32,89.85,13.73,11.01
5855051,Ewa Beach,90,US,1577295635,94,21.32,-158.01,76.75,13.87
2542987,Martil,38,MA,1577295636,77,35.62,-5.28,63.34,3.36
1636022,Martapura,87,ID,1577295636,94,-3.41,114.85,74.59,1.05
5969785,Hamilton,90,CA,1577295436,100,43.26,-79.87,35.91,10.29
3660401,Bahia de Caraquez,20,EC,1577295637,70,-0.6,-80.42,86.0,10.29
2121385,Severo-Kurilsk,100,RU,1577295637,92,50.68,156.12,18.64,37.29
1507116,Dudinka,40,RU,1577295638,75,69.41,86.18,-13.0,7.96
3351663,Benguela,40,AO,1577295409,70,-12.58,13.4,84.2,11.41
3894426,Coihaique,75,CL,1577295639,62,-45.58,-72.07,56.19,8.05
470905,Vuktyl,66,RU,1577295640,87,63.86,57.31,-1.43,3.96
212730,Kisangani,100,CD,1577295640,85,0.52,25.21,75.56,3.04
359792,Aswan,0,EG,1577295640,35,24.09,32.9,56.93,9.22
3599912,Aguacatan,0,GT,1577295641,18,15.34,-91.31,77.34,3.0
1506676,Gari,100,RU,1577295641,95,59.43,62.35,11.64,5.39
779330,Kautokeino,16,NO,1577295642,89,69.01,23.04,16.39,11.79
3386177,Trairi,28,BR,1577295642,39,-3.28,-39.27,93.22,13.13
4529096,Ada,1,US,1577295643,42,34.77,-96.68,63.48,12.75
2446796,Bilma,0,NE,1577295643,18,18.69,12.92,61.88,4.85
1153850,Bo Phloi,2,TH,1577295644,62,14.32,99.52,72.77,4.25
1214488,Meulaboh,100,ID,1577295644,81,4.14,96.13,81.0,7.43
3378644,Georgetown,75,GY,1577295645,74,6.8,-58.16,85.17,9.17
2162662,Inverell,0,AU,1577295645,82,-29.78,151.11,60.33,2.75
3840092,Puerto Madryn,0,AR,1577295646,13,-42.77,-65.04,77.4,17.31
3393922,Nisia Floresta,20,BR,1577295647,52,-6.09,-35.21,87.8,16.11
3863379,Mar del Plata,19,AR,1577295648,27,-46.43,-67.52,70.18,34.52
2109528,Buala,100,SB,1577295648,83,-8.15,159.59,76.48,4.47
3449340,Sao Borja,0,BR,1577295624,30,-28.66,-56.0,97.29,10.6
962367,Richards Bay,27,ZA,1577295649,87,-28.77,32.06,77.83,21.21
5983607,Inuvik,90,CA,1577295650,68,68.36,-133.71,-18.4,9.17
4470244,Havelock,1,US,1577295454,59,34.88,-76.9,59.65,8.05
3419842,Sisimiut,0,GL,1577295598,58,66.94,-53.67,5.97,6.11
3879200,Mulchen,0,CL,1577295652,49,-37.72,-72.23,71.6,17.22
3521972,Panaba,44,MX,1577295653,59,21.28,-88.27,75.04,3.27
2155562,Nelson Bay,0,AU,1577295653,82,-32.72,152.14,68.81,9.17
